$db-dump dbDump
$db-load dbLoad
$db-lookup dbLookup
0branch  c_zbranch
0=  c_zequal
0>  c_zgreater
0<  c_zless
1-  c_1minus
1+  c_1plus
2-  c_2minus
2+  c_2plus
2/  c_2slash
2*  c_2star
abort  c_abort
abs  c_abs
accept  c_accept
again  c_again
align-ptr  c_align_ptr
allot  c_allot
and  c_and
banner c_banner
begin  c_begin
blank  c_blank
branch  c_branch
<builds  c_builds
bye  c_bye
@  c_at
c@  c_cat
c,  c_ccomma
c!  c_cstor
:  c_colon
,  c_comma
.  c_dot
=  c_equal
cfa  c_cfa
>  c_greater
#  c_hash
#>  c_hashgreat
[  c_lbrak
<  c_less
<#  c_lesshash
(  c_lpara
-  c_minus
<cmove>  c_acmove
<<cmove>  c_alcmove
cmove  c_cmove
<cmove  c_lcmove
cold  c_cold
?comp  c_qcomp
[compile]  c_bcompile
compile  c_compile
constant  c_constant
convert  c_convert
count  c_count
+  c_plus
+-  c_plusm
+!  c_pstor
cpu c_cpu
?  c_quest
]  c_rbrak
cr  c_cr
create  c_builds
create  c_create
;  c_semi
/  c_slash
?csp  c_qcsp
*  c_star
*/  c_starsl
!  c_stor
'  c_tick
dabs  c_dabs
db-bucket-stats dbBucketStats
db-create  dbCreate
db-debug-dump dbDebugDump
db-delete dbDelete
db-display-record dbDisplayRecord
db-find-first dbFindFirst
db-find-first-def dbFindFirstDef
db-find-next dbFindNext
db-find-next-def dbFindNextDef
db-get-alarm  dbGetAlarmLevel
db-get-def dbGetDef
db-get-name dbGetName
db-grow  dbGrow
db-install dbInstall
db-occupancy dbOccupancy
db-set-alarm  dbSetAlarmLevel
db-set-def dbSetDef
db-set-def-size dbSetDefSize
db-set-flags  dbSetFlags
db-set-max-records  dbSetMaxRecords
db-set-name dbSetName
db-set-name-size  dbSetNameSize
db-status dbStatus
db-update dbUpdate
db-update dbUpdate
d.  c_ddot
d<  c_dless
d+  c_dplus
d+-  c_dplusm
d!  c_dstor
ddrop  c_ddrop
ddup  c_ddup
debug  c_debug
decimal  c_decimal
definitions  c_definitions
depth  c_depth
digit  c_digit
dlclose c_dlclose
dliteral  c_dliteral
dlopen c_dlopen
dnegate  c_dnegate
<do>  c_ado
do  c_do
does>  c_does
d.r  c_ddotr
drop  c_drop
dump c_dump
dup  c_dup
?dup  c_qdup
else  c_else
<emit>  c_aemit
emit  c_emit
enclose  c_enclose
end-all  c_endall
endf  c_endf
endif  c_endif
evaluate  c_evaluate
execute  c_execute
exit  c_exit
expect  c_expect
fclose  c_fclose
<femit>  c_afemit
<fill>  c_afill
fill  c_fill
<find>  c_afind
find  c_find
-find  c_mfind
<fkey>  c_afkey
fopena  c_fopena
fopenr  c_fopenr
fopenw  c_fopenw
forget  c_forget
fread  c_fread
fwrite  c_fwrite
getf  c_getf
h.  c_hdot
here  c_here
hex  c_hex
hold  c_hold
i  c_i
i'  c_itick
id.  c_iddot
if  c_if
immediate  c_immediate
include  c_getf
interpret  c_interpret
j  c_j
jsr  c_jsr
<key>  c_akey
key  c_key
?key  c_qterminal
latest  c_latest
leave  c_leave
lfa  c_lfa
lit  c_lit
literal  c_literal
load  c_load
<loop>  c_aloop
<+loop>  c_aploop
</loop>  c_aslloop
loop  c_loop
+loop  c_ploop
/loop  c_slloop
max  c_max
m+  c_mplus
m/  c_msl
m*  c_mstar
m*/  c_mstarsl
min  c_min
m/mod  c_mslmod
mod  c_mod
/mod  c_slmod
*/mod  c_starslmod
move  c_move
negate  c_negate
nfa  c_nfa
nip  c_nip
not  c_not
number  c_number
or  c_or
os c_os
over  c_over
pad  c_pad
?pairs  c_qpairs
parse  c_parse
p@  c_portat
p!  c_portstor
pfa  c_pfa
pick  c_pick
pw@  c_portwat
pw!  c_portwstor
query  c_query
quiet c_quiet
quit  c_quit
.r  c_dotr
r@  c_rat
r>  c_rfrom
>r  c_tor
repeat  c_repeat
roll  c_roll
-rot  c_min_rot
rot  c_rot
rp@  c_rpat
rp!  c_rpstor
s0  c_s0
save  c_save
.s  c_dots
#s  c_hashs
s->d  c_stod
servent  c_servent
set-prompt c_setprompt
sign  c_sign
smudge  c_smudge
space  c_space
spaces  c_spaces
sp@  c_spat
sp!  c_spstor
?stack  c_qstack
?stream  c_qstream
'stream  c_tstream
swap  c_swap
then  c_then
toggle  c_toggle
-trailing  c_mtrailing
traverse  c_traverse
type  c_type
u.  c_udot
u<  c_uless
u*  c_ustar
u/mod  c_uslmod
until  c_until
user  c_user
variable  c_variable
verbose  c_verbose
vocabulary  c_vocabulary
w@  c_wat
w!  c_wstor
where  c_where
while  c_while
word  c_word
words  c_vlist
xor  c_xor
